iter	Passed	Remaining
0	73	14529
1	86	8611
2	101	6671
3	115	5637
4	128	5001
5	142	4594
6	154	4267
7	168	4040
8	181	3857
9	194	3686
10	207	3564
11	220	3457
12	235	3386
13	250	3327
14	265	3277
15	279	3218
16	293	3163
17	308	3117
18	323	3078
19	337	3037
20	352	3008
21	368	2980
22	383	2951
23	401	2943
24	415	2905
25	428	2868
26	441	2830
27	454	2794
28	467	2758
29	481	2728
30	494	2694
31	507	2666
32	521	2638
33	534	2611
34	548	2585
35	560	2555
36	574	2532
37	589	2511
38	603	2489
39	615	2461
40	628	2437
41	643	2420
42	657	2399
43	671	2381
44	686	2364
45	701	2349
46	716	2331
47	731	2316
48	746	2299
49	762	2288
50	777	2272
51	793	2257
52	809	2245
53	824	2228
54	837	2208
55	850	2186
56	863	2166
57	877	2148
58	890	2128
59	902	2106
60	915	2086
61	929	2068
62	941	2047
63	954	2029
64	968	2010
65	981	1993
66	994	1974
67	1007	1956
68	1021	1938
69	1034	1922
70	1047	1903
71	1059	1884
72	1073	1867
73	1087	1850
74	1100	1834
75	1114	1818
76	1128	1801
77	1143	1788
78	1158	1774
79	1171	1757
80	1185	1742
81	1199	1725
82	1211	1708
83	1224	1690
84	1237	1674
85	1250	1657
86	1264	1641
87	1278	1626
88	1290	1609
89	1306	1596
90	1317	1578
91	1330	1562
92	1343	1545
93	1355	1528
94	1369	1513
95	1382	1497
96	1395	1481
97	1409	1466
98	1424	1452
99	1438	1438
100	1454	1425
101	1471	1414
102	1488	1402
103	1510	1394
104	1530	1384
105	1546	1371
106	1561	1357
107	1575	1342
108	1588	1326
109	1602	1311
110	1615	1295
111	1628	1279
112	1640	1263
113	1654	1247
114	1667	1232
115	1680	1217
116	1694	1202
117	1708	1187
118	1721	1171
119	1734	1156
120	1749	1141
121	1762	1127
122	1775	1111
123	1788	1096
124	1801	1081
125	1816	1067
126	1831	1052
127	1844	1037
128	1857	1022
129	1871	1007
130	1884	992
131	1897	977
132	1908	961
133	1921	946
134	1933	930
135	1947	916
136	1960	901
137	1972	886
138	1986	871
139	2000	857
140	2013	842
141	2027	828
142	2041	813
143	2054	799
144	2067	784
145	2081	769
146	2094	755
147	2107	740
148	2121	726
149	2135	711
150	2146	696
151	2158	681
152	2170	666
153	2184	652
154	2198	638
155	2210	623
156	2223	609
157	2236	594
158	2251	580
159	2266	566
160	2281	552
161	2296	538
162	2312	524
163	2328	511
164	2343	497
165	2359	483
166	2376	469
167	2393	455
168	2411	442
169	2427	428
170	2441	413
171	2454	399
172	2467	385
173	2481	370
174	2495	356
175	2508	342
176	2522	327
177	2535	313
178	2549	299
179	2562	284
180	2576	270
181	2589	256
182	2602	241
183	2616	227
184	2630	213
185	2644	199
186	2657	184
187	2669	170
188	2686	156
189	2703	142
190	2716	128
191	2730	113
192	2743	99
193	2756	85
194	2768	70
195	2781	56
196	2794	42
197	2807	28
198	2822	14
199	2834	0
