iter	Logloss
0	0.5730136512
1	0.4603632523
2	0.3884322903
3	0.3424893291
4	0.3089018309
5	0.2918613084
6	0.2721073317
7	0.2551184149
8	0.2399945844
9	0.2325595868
10	0.2265499773
11	0.2236984149
12	0.220644155
13	0.2181454337
14	0.2154501125
15	0.211265416
16	0.2079832659
17	0.2051942239
18	0.2035248323
19	0.202261455
20	0.2008684815
21	0.199949643
22	0.1986285799
23	0.1975515482
24	0.1969078819
25	0.1960051801
26	0.1946795804
27	0.1942003455
28	0.1936823745
29	0.1929803804
30	0.1925282507
31	0.1917143442
32	0.1910915729
33	0.190255292
34	0.1900883615
35	0.1891815832
36	0.1888739311
37	0.1884388661
38	0.1878490139
39	0.187438502
40	0.1872656736
41	0.1867383024
42	0.1864346926
43	0.1860904836
44	0.1858224496
45	0.1854257496
46	0.1850821934
47	0.1845631268
48	0.1841563491
49	0.183980878
50	0.1837546911
51	0.1837514955
52	0.1833478155
53	0.1831116549
54	0.1828037566
55	0.1825154402
56	0.1820360708
57	0.1816538934
58	0.1812758174
59	0.1810889756
60	0.1807219606
61	0.1804411305
62	0.1801469104
63	0.1800149134
64	0.1797236022
65	0.1794787687
66	0.1791976202
67	0.1791869704
68	0.1788506094
69	0.1787987592
70	0.1786188279
71	0.1783180587
72	0.1781120379
73	0.1780636682
74	0.1778759243
75	0.1775794403
76	0.1774514689
77	0.1773639016
78	0.1771861927
79	0.1769737617
80	0.1766870564
81	0.1764605895
82	0.1763668645
83	0.1761192229
84	0.1759971816
85	0.1759388515
86	0.1757932834
87	0.1755576018
88	0.1752814933
89	0.1751656499
90	0.175021047
91	0.1749279525
92	0.1747332148
93	0.1746862309
94	0.1746054839
95	0.1743990155
96	0.174248061
97	0.1741119384
98	0.1740075245
99	0.1738293287
100	0.1735813799
101	0.1734829222
102	0.1734674547
103	0.1732760987
104	0.1731806151
105	0.1729441072
106	0.172784832
107	0.1724609612
108	0.172250303
109	0.1722209063
110	0.1720826575
111	0.1719808997
112	0.1718638081
113	0.1716199727
114	0.1715120388
115	0.171285706
116	0.1711654298
117	0.1709469559
118	0.1708895553
119	0.1707954066
120	0.1706217315
121	0.1705715797
122	0.1704038665
123	0.1702966613
124	0.1701444763
125	0.169987441
126	0.1698630969
127	0.1697430358
128	0.169411519
129	0.1693864436
130	0.1692817839
131	0.1691068004
132	0.1690037773
133	0.1688812993
134	0.1687292582
135	0.1685022228
136	0.1683567271
137	0.1682006399
138	0.1678802999
139	0.1676190514
140	0.1675227195
141	0.1672625457
142	0.1670800271
143	0.1669023475
144	0.1666494378
145	0.1664418313
146	0.1662351734
147	0.1660697504
148	0.1657925643
149	0.1655460661
150	0.1653375434
151	0.1650992859
152	0.1649084423
153	0.1647663808
154	0.1646138506
155	0.164448556
156	0.1642446438
157	0.1639965923
158	0.1638570313
159	0.1636691747
160	0.163454923
161	0.163330347
162	0.1630852567
163	0.1629659932
164	0.1628094134
165	0.1626112188
166	0.1624741303
167	0.1623754856
168	0.1621731744
169	0.1619092981
170	0.161681295
171	0.1615647243
172	0.1612341383
173	0.1609563624
174	0.1607360804
175	0.1606325134
176	0.1605021819
177	0.1603368623
178	0.1601843004
179	0.1599687943
180	0.1596598705
181	0.1593491803
182	0.1590612057
183	0.1588602474
184	0.1586508604
185	0.158493301
186	0.1583337815
187	0.1582426594
188	0.1580244232
189	0.1578509428
190	0.1577195199
191	0.1576029571
192	0.1574064212
193	0.1572473884
194	0.1571654843
195	0.156998666
196	0.1568992399
197	0.1566748164
198	0.1565099566
199	0.1563108939
200	0.1561456072
201	0.1558950367
202	0.1556788829
203	0.1553894377
204	0.1552111879
205	0.1550721091
206	0.1549577725
207	0.1548209291
208	0.1546498131
209	0.1544824254
210	0.1542988014
211	0.1541597743
212	0.1540731134
213	0.1538604861
214	0.1536889214
215	0.1535232833
216	0.1534226897
217	0.1533149931
218	0.153239369
219	0.153016263
220	0.1528061083
221	0.1526470755
222	0.1524116285
223	0.1522557424
224	0.1520685823
225	0.1519663408
226	0.1518381758
227	0.1517185353
228	0.1515317752
229	0.1514064204
230	0.1512203857
231	0.1511184409
232	0.1508879254
233	0.1506902382
234	0.1504804626
235	0.1504212182
236	0.1502991384
237	0.1501711459
238	0.1500674084
239	0.1499478905
240	0.1498802746
241	0.1497164343
242	0.1496128528
243	0.1495210584
244	0.149449295
245	0.149331552
246	0.1492528623
247	0.1490722761
248	0.1490035616
249	0.1488222141
250	0.1486792369
251	0.1485188993
252	0.1483687854
253	0.1482069058
254	0.1481322513
255	0.1480009547
256	0.1478309467
257	0.1477364419
258	0.1475510671
259	0.1474353394
260	0.1473426658
261	0.1473226507
262	0.1472354151
263	0.1470403055
264	0.1469827132
265	0.1469389812
266	0.1468814822
267	0.1467350934
268	0.1466839499
269	0.1466406912
270	0.1465748761
271	0.14636826
272	0.1462625653
273	0.1461535397
274	0.1459166374
275	0.1457974345
276	0.145670429
277	0.1455937215
278	0.1454430168
279	0.1453235714
280	0.1451912238
281	0.1449974969
282	0.1448433393
283	0.1447237279
284	0.1445348588
285	0.1443405685
286	0.1442708302
287	0.1441160793
288	0.1439883916
289	0.1438447169
290	0.1437647882
291	0.1436128116
292	0.1435173653
293	0.1434348342
294	0.1433634324
295	0.1432058937
296	0.1430161254
297	0.1429180459
298	0.1428057828
299	0.1426941052
