iter	Passed	Remaining
0	129	38620
1	194	28972
2	243	24131
3	291	21543
4	333	19705
5	379	18573
6	420	17599
7	472	17244
8	527	17069
9	590	17123
10	658	17301
11	718	17238
12	773	17087
13	832	16998
14	865	16447
15	898	15939
16	930	15498
17	963	15089
18	992	14674
19	1022	14313
20	1051	13964
21	1079	13636
22	1114	13422
23	1147	13190
24	1178	12958
25	1209	12747
26	1243	12577
27	1278	12423
28	1315	12297
29	1344	12103
30	1380	11983
31	1414	11846
32	1447	11714
33	1478	11566
34	1509	11432
35	1539	11292
36	1571	11171
37	1601	11043
38	1633	10930
39	1669	10853
40	1701	10747
41	1730	10630
42	1760	10519
43	1788	10406
44	1860	10544
45	1900	10492
46	1943	10464
47	1981	10404
48	2011	10305
49	2049	10245
50	2080	10160
51	2106	10047
52	2130	9930
53	2158	9832
54	2213	9861
55	2245	9783
56	2274	9695
57	2301	9604
58	2326	9503
59	2354	9417
60	2383	9337
61	2412	9259
62	2438	9172
63	2467	9097
64	2497	9029
65	2524	8949
66	2551	8872
67	2577	8793
68	2604	8721
69	2636	8662
70	2663	8592
71	2689	8517
72	2717	8451
73	2747	8389
74	2775	8325
75	2814	8294
76	2853	8263
77	2881	8201
78	2903	8123
79	2930	8059
80	2958	7997
81	2987	7941
82	3017	7889
83	3059	7866
84	3084	7801
85	3112	7745
86	3145	7700
87	3174	7647
88	3202	7593
89	3229	7535
90	3255	7477
91	3279	7414
92	3303	7352
93	3328	7293
94	3354	7239
95	3380	7184
96	3406	7129
97	3438	7087
98	3463	7031
99	3497	6994
100	3524	6944
101	3551	6894
102	3574	6836
103	3598	6782
104	3628	6738
105	3656	6691
106	3678	6635
107	3701	6580
108	3727	6532
109	3755	6486
110	3806	6481
111	3850	6463
112	3875	6413
113	3910	6379
114	3940	6339
115	3971	6299
116	4019	6286
117	4052	6250
118	4094	6228
119	4156	6234
120	4205	6221
121	4260	6216
122	4295	6181
123	4332	6149
124	4367	6113
125	4402	6079
126	4429	6034
127	4462	5996
128	4493	5956
129	4517	5908
130	4543	5861
131	4574	5821
132	4605	5783
133	4633	5739
134	4664	5701
135	4693	5660
136	4725	5622
137	4755	5582
138	4788	5546
139	4822	5511
140	4855	5474
141	4882	5432
142	4914	5395
143	4945	5357
144	4976	5319
145	5007	5281
146	5044	5250
147	5078	5215
148	5112	5181
149	5150	5150
150	5185	5116
151	5286	5147
152	5334	5125
153	5369	5090
154	5425	5075
155	5485	5063
156	5528	5035
157	5571	5006
158	5604	4970
159	5646	4940
160	5701	4922
161	5762	4908
162	5812	4885
163	5861	4861
164	5910	4836
165	5958	4809
166	6006	4783
167	6062	4763
168	6109	4736
169	6158	4709
170	6207	4682
171	6275	4669
172	6327	4644
173	6371	4614
174	6410	4578
175	6445	4541
176	6492	4511
177	6526	4473
178	6579	4447
179	6632	4421
180	6676	4389
181	6715	4353
182	6748	4314
183	6788	4279
184	6830	4245
185	6867	4208
186	6901	4170
187	6930	4128
188	6967	4092
189	7009	4058
190	7050	4023
191	7093	3990
192	7129	3952
193	7214	3941
194	7256	3907
195	7297	3872
196	7331	3833
197	7364	3793
198	7397	3754
199	7429	3714
200	7463	3675
201	7499	3638
202	7540	3602
203	7582	3568
204	7612	3527
205	7651	3491
206	7695	3457
207	7737	3422
208	7767	3382
209	7808	3346
210	7846	3309
211	7881	3271
212	7913	3232
213	7950	3195
214	7987	3157
215	8021	3119
216	8047	3078
217	8079	3039
218	8125	3005
219	8166	2969
220	8199	2931
221	8237	2894
222	8271	2856
223	8296	2814
224	8327	2775
225	8360	2737
226	8385	2696
227	8409	2655
228	8439	2616
229	8471	2578
230	8513	2542
231	8548	2505
232	8596	2472
233	8647	2439
234	8691	2403
235	8743	2370
236	8808	2341
237	8860	2308
238	8898	2271
239	8934	2233
240	8972	2196
241	9009	2159
242	9051	2123
243	9103	2089
244	9166	2057
245	9215	2022
246	9264	1987
247	9320	1954
248	9368	1918
249	9400	1880
250	9432	1841
251	9463	1802
252	9493	1763
253	9526	1725
254	9560	1687
255	9599	1649
256	9647	1614
257	9702	1579
258	9780	1548
259	9868	1518
260	9927	1483
261	9977	1447
262	10030	1411
263	10079	1374
264	10125	1337
265	10186	1302
266	10240	1265
267	10292	1228
268	10406	1199
269	10475	1163
270	10523	1126
271	10562	1087
272	10596	1047
273	10627	1008
274	10662	969
275	10694	929
276	10725	890
277	10760	851
278	10803	813
279	10844	774
280	10885	736
281	10928	697
282	11015	661
283	11096	625
284	11189	588
285	11293	552
286	11523	521
287	11691	487
288	11760	447
289	11831	407
290	11911	368
291	11975	328
292	12043	287
293	12138	247
294	12220	207
295	12279	165
296	12383	125
297	12461	83
298	12537	41
299	12672	0
