iter	Passed	Remaining
0	333	66316
1	512	50722
2	694	45623
3	872	42729
4	1058	41287
5	1236	39967
6	1400	38610
7	1563	37526
8	1723	36584
9	1908	36264
10	2095	36002
11	2256	35349
12	2419	34810
13	2590	34422
14	2752	33952
15	2935	33756
16	3139	33800
17	3293	33298
18	3486	33210
19	3673	33062
20	3845	32774
21	4056	32824
22	4234	32587
23	4402	32281
24	4612	32289
25	4804	32152
26	4994	32000
27	5182	31837
28	5372	31677
29	5554	31472
30	5736	31274
31	5905	31002
32	6099	30866
33	6272	30624
34	6430	30315
35	6630	30206
36	6816	30027
37	7003	29858
38	7196	29710
39	7369	29478
40	7576	29382
41	7779	29266
42	7967	29089
43	8159	28927
44	8414	28983
45	8637	28917
46	8841	28782
47	9038	28620
48	9231	28448
49	9497	28493
50	9658	28216
51	9841	28011
52	10018	27787
53	10197	27570
54	10389	27391
55	10586	27221
56	10816	27137
57	11013	26964
58	11203	26773
59	11389	26575
60	11571	26367
61	11751	26155
62	11927	25937
63	12140	25798
64	12290	25527
65	12516	25412
66	12692	25195
67	12858	24961
68	13045	24768
69	13232	24574
70	13423	24388
71	13612	24200
72	13806	24018
73	13968	23784
74	14154	23591
75	14347	23408
76	14541	23228
77	14724	23029
78	14908	22833
79	15093	22640
80	15276	22442
81	15457	22244
82	15642	22049
83	15829	21859
84	16014	21666
85	16196	21469
86	16379	21275
87	16566	21084
88	16751	20892
89	16954	20722
90	17148	20540
91	17334	20349
92	17519	20156
93	17703	19963
94	17886	19769
95	18074	19580
96	18261	19390
97	18442	19195
98	18623	18999
99	18807	18807
100	18977	18601
101	19160	18409
102	19345	18218
103	19530	18028
104	19712	17835
105	19867	17618
106	20049	17426
107	20251	17251
108	20439	17063
109	20591	16847
110	20775	16657
111	20964	16471
112	21151	16284
113	21337	16097
114	21524	15909
115	21713	15723
116	21899	15535
117	22088	15349
118	22269	15158
119	22452	14968
120	22640	14781
121	22823	14592
122	22986	14389
123	23171	14201
124	23321	13992
125	23503	13803
126	23686	13615
127	23837	13408
128	24020	13220
129	24205	13033
130	24388	12845
131	24574	12659
132	24755	12470
133	24936	12282
134	25117	12093
135	25301	11906
136	25481	11717
137	25663	11530
138	25850	11344
139	26033	11157
140	26221	10972
141	26420	10791
142	26571	10591
143	26763	10407
144	26946	10221
145	27127	10033
146	27310	9846
147	27494	9660
148	27678	9473
149	27860	9286
150	28045	9100
151	28225	8913
152	28404	8725
153	28592	8540
154	28775	8354
155	28958	8167
156	29139	7980
157	29318	7793
158	29503	7607
159	29695	7423
160	29886	7239
161	30069	7053
162	30239	6864
163	30392	6671
164	30575	6485
165	30756	6299
166	30937	6113
167	31098	5923
168	31283	5738
169	31602	5576
170	31836	5399
171	32147	5233
172	32520	5075
173	32714	4888
174	32906	4700
175	33165	4522
176	33355	4334
177	33529	4144
178	33714	3955
179	33897	3766
180	34080	3577
181	34263	3388
182	34449	3200
183	34605	3009
184	34788	2820
185	34970	2632
186	35116	2441
187	35304	2253
188	35471	2064
189	35649	1876
190	35832	1688
191	35985	1499
192	36166	1311
193	36350	1124
194	36507	936
195	36701	749
196	36887	561
197	37069	374
198	37221	187
199	37401	0
